epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.67883,2.70443,7.06381,2.48033,0.00495,0.18182,0.02737,0.02,3.11356,4.81552,2.64786,0,0,0
2,5.54617,1.96208,10.6248,1.50724,0.00548,0.18182,0.02907,0.0178,3.09247,4.82631,2.63425,6.60397e-06,6.60397e-06,6.60397e-06
3,8.16716,3.78138,7.31003,2.84626,0.00612,0.18182,0.02907,0.01796,3.08476,4.79485,2.62766,1.30759e-05,1.30759e-05,1.30759e-05
4,10.7443,3.20444,6.87478,2.57507,0.00712,0.18182,0.03015,0.02111,3.06493,4.77407,2.63911,1.94157e-05,1.94157e-05,1.94157e-05
5,13.5458,3.47009,6.62854,2.77369,0.00712,0.18182,0.03837,0.02741,3.01389,4.74839,2.59558,2.56235e-05,2.56235e-05,2.56235e-05
6,16.5787,3.55172,4.64568,2.83077,0.10724,0.09091,0.09692,0.0659,3.01802,4.63731,2.56624,3.16992e-05,3.16992e-05,3.16992e-05
7,19.5068,3.20833,12.1803,2.05257,0.24284,0.09091,0.09741,0.0661,2.94936,4.67452,2.50034,3.76428e-05,3.76428e-05,3.76428e-05
8,22.8509,3.76849,4.55959,2.81331,0.53044,0.09091,0.09611,0.06558,2.90472,4.78931,2.47379,4.34544e-05,4.34544e-05,4.34544e-05
9,25.8309,3.15468,4.5325,2.1108,0.62494,0.09091,0.09741,0.07515,2.63625,4.8601,2.3291,4.91339e-05,4.91339e-05,4.91339e-05
10,29.166,2.85453,4.13117,2.18413,0.7207,0.09091,0.10192,0.07653,2.42425,4.90688,2.24963,5.46813e-05,5.46813e-05,5.46813e-05
11,32.5839,3.15244,4.01949,2.2492,0.72336,0.09091,0.10553,0.08155,2.25449,4.85633,2.22246,6.00967e-05,6.00967e-05,6.00967e-05
12,36.8734,2.58896,4.13383,2.33208,0.633,0.09091,0.12061,0.07969,2.1687,4.95267,2.18932,6.538e-05,6.538e-05,6.538e-05
13,39.994,2.23992,3.33996,1.77549,0.27247,0.18182,0.13568,0.08722,2.23875,5.08417,2.23366,7.05312e-05,7.05312e-05,7.05312e-05
14,43.0768,2.28019,3.56853,2.09881,0.48226,0.18182,0.13568,0.08399,2.16923,5.42775,2.18477,7.55504e-05,7.55504e-05,7.55504e-05
