epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,44.7313,1.83024,3.71609,1.74888,0.43426,0.18182,0.11352,0.08446,2.12646,5.89405,2.17861,8.04375e-05,8.04375e-05,8.04375e-05
16,46.3822,1.91594,2.82749,1.81543,0.09331,0.36364,0.15025,0.10517,2.06733,6.45627,2.145,8.51926e-05,8.51926e-05,8.51926e-05
17,48.1914,2.05627,2.83813,1.93017,0.21092,0.45455,0.24853,0.14727,2.11619,7.4774,2.17983,8.98156e-05,8.98156e-05,8.98156e-05
18,51.267,2.31257,2.96019,1.71216,0.21092,0.45455,0.24853,0.14727,2.11619,7.4774,2.17983,9.43065e-05,9.43065e-05,9.43065e-05
19,54.6749,2.04044,2.89358,1.55409,0.20714,0.45455,0.29544,0.18594,2.05506,7.82925,2.13006,9.86653e-05,9.86653e-05,9.86653e-05
20,58.0628,1.12686,9.16088,1.28992,0.20714,0.45455,0.29544,0.18594,2.05506,7.82925,2.13006,0.000102892,0.000102892,0.000102892
21,61.6642,1.36311,2.88851,1.4969,0.35231,0.45455,0.42514,0.27991,2.15097,7.72521,2.15445,0.000106987,0.000106987,0.000106987
22,65.465,2.19987,3.24134,1.74677,0.35231,0.45455,0.42514,0.27991,2.15097,7.72521,2.15445,0.000110949,0.000110949,0.000110949
23,69.0753,1.82266,2.63129,1.78627,0.45624,0.54545,0.58795,0.41835,2.098,7.66972,2.0796,0.00011478,0.00011478,0.00011478
24,72.5002,2.18697,2.46035,1.64793,0.45624,0.54545,0.58795,0.41835,2.098,7.66972,2.0796,0.000118479,0.000118479,0.000118479
25,76.8521,2.17533,2.9857,1.74119,0.42653,0.54545,0.51258,0.35579,2.0964,6.95849,1.97834,0.000122045,0.000122045,0.000122045
26,80.1543,0,25.4494,0,0.42653,0.54545,0.51258,0.35579,2.0964,6.95849,1.97834,0.000125479,0.000125479,0.000125479
27,83.7028,1.73118,3.61109,1.30467,0.58004,0.54545,0.52011,0.3531,2.13132,5.88323,1.9418,0.000128782,0.000128782,0.000128782
28,86.8793,2.48556,2.9067,2.13249,0.58004,0.54545,0.52011,0.3531,2.13132,5.88323,1.9418,0.000131952,0.000131952,0.000131952
29,90.5166,1.74791,2.26922,1.69788,0.54919,0.63636,0.5382,0.37629,1.95406,4.64928,1.78846,0.00013499,0.00013499,0.00013499
30,94.0876,1.80641,2.61552,1.67946,0.54919,0.63636,0.5382,0.37629,1.95406,4.64928,1.78846,0.000137896,0.000137896,0.000137896
31,97.7049,1.81964,2.23904,1.73725,0.80204,0.45455,0.63997,0.3983,1.67977,3.70617,1.62991,0.00014067,0.00014067,0.00014067
32,100.972,1.57389,2.23921,1.44767,0.80204,0.45455,0.63997,0.3983,1.67977,3.70617,1.62991,0.000143312,0.000143312,0.000143312
33,103.404,1.69697,2.37144,1.74339,0.9073,0.45455,0.71861,0.46936,1.53774,2.93169,1.59345,0.000145822,0.000145822,0.000145822
34,105.153,1.48926,2.04994,1.5753,0.9073,0.45455,0.71861,0.46936,1.53774,2.93169,1.59345,0.0001482,0.0001482,0.0001482
35,106.944,1.79091,2.37458,1.73757,0.8595,0.45455,0.8367,0.53444,1.39177,2.67895,1.61271,0.000150446,0.000150446,0.000150446
36,108.9,1.40506,1.70683,1.46432,0.8595,0.45455,0.8367,0.53444,1.39177,2.67895,1.61271,0.00015256,0.00015256,0.00015256
37,112.157,1.63458,1.70275,1.4942,0.64682,0.66974,0.94977,0.62301,1.30358,2.55747,1.56596,0.000154541,0.000154541,0.000154541
38,115.19,1.53282,2.56574,1.26819,0.64682,0.66974,0.94977,0.62301,1.30358,2.55747,1.56596,0.000156391,0.000156391,0.000156391
39,118.66,1.36811,1.67249,1.53275,0.60094,0.72727,0.94977,0.65633,1.27128,2.54358,1.54734,0.000158108,0.000158108,0.000158108
40,121.831,1.64989,1.71541,1.42044,0.60094,0.72727,0.94977,0.65633,1.27128,2.54358,1.54734,0.000159694,0.000159694,0.000159694
41,125.257,2.82266,2.87521,1.89111,0.74136,0.72727,0.94977,0.6965,1.23354,2.66605,1.48591,0.000161147,0.000161147,0.000161147
42,128.264,1.667,2.06164,1.74445,0.74136,0.72727,0.94977,0.6965,1.23354,2.66605,1.48591,0.000162469,0.000162469,0.000162469
43,131.328,1.38822,1.83666,1.42036,0.70769,0.72727,0.86233,0.65278,1.17708,2.13598,1.46458,0.000163658,0.000163658,0.000163658
44,134.019,1.5091,2.99452,1.38929,0.70769,0.72727,0.86233,0.65278,1.17708,2.13598,1.46458,0.000164715,0.000164715,0.000164715
45,137.056,1.53602,1.74361,1.40312,0.83396,0.63636,0.86233,0.66554,1.15719,1.74186,1.45873,0.00016564,0.00016564,0.00016564
46,140.018,1.34346,1.5931,1.5382,0.83396,0.63636,0.86233,0.66554,1.15719,1.74186,1.45873,0.000166433,0.000166433,0.000166433
47,142.953,2.14297,2.27705,1.49724,0.60198,0.81818,0.9347,0.72364,1.14649,1.5645,1.44935,0.000167094,0.000167094,0.000167094
48,145.824,1.8827,2.11303,1.4221,0.60198,0.81818,0.9347,0.72364,1.14649,1.5645,1.44935,0.000167623,0.000167623,0.000167623
49,149.002,1.80186,1.7922,1.39822,0.63011,0.8924,0.94977,0.71847,1.16278,1.5467,1.43699,0.00016802,0.00016802,0.00016802
50,151.836,1.21201,1.44229,1.33054,0.63011,0.8924,0.94977,0.71847,1.16278,1.5467,1.43699,0.000168285,0.000168285,0.000168285
51,154.851,1.84368,1.62672,1.3785,0.65476,0.90909,0.94977,0.68358,1.15797,1.46323,1.40026,0.000168417,0.000168417,0.000168417
52,157.618,1.17946,1.24465,1.2646,0.65476,0.90909,0.94977,0.68358,1.15797,1.46323,1.40026,0.000168418,0.000168418,0.000168418
53,160.5,1.65828,1.66803,1.81144,0.65476,0.90909,0.94977,0.68358,1.15797,1.46323,1.40026,0.000168287,0.000168287,0.000168287
54,163.235,1.34905,1.2742,1.50626,0.74338,0.90525,0.94977,0.67208,1.2026,1.51209,1.37767,0.000168023,0.000168023,0.000168023
55,164.588,1.40487,1.57224,1.46003,0.74338,0.90525,0.94977,0.67208,1.2026,1.51209,1.37767,0.000167628,0.000167628,0.000167628
56,165.934,1.17484,1.85161,1.27689,0.74338,0.90525,0.94977,0.67208,1.2026,1.51209,1.37767,0.0001671,0.0001671,0.0001671
57,167.32,1.77822,1.69994,1.38309,0.58815,1,0.94977,0.63921,1.24355,1.62876,1.39634,0.000166441,0.000166441,0.000166441
58,168.63,1.19011,1.22359,1.34693,0.58815,1,0.94977,0.63921,1.24355,1.62876,1.39634,0.000165649,0.000165649,0.000165649
59,171.241,1.64854,1.38285,1.36567,0.58815,1,0.94977,0.63921,1.24355,1.62876,1.39634,0.000164725,0.000164725,0.000164725
60,173.998,1.26455,1.44096,1.41741,0.88741,0.72727,0.94977,0.6558,1.20888,1.38235,1.37554,0.000163669,0.000163669,0.000163669
61,176.641,1.0743,1.1278,1.28874,0.88741,0.72727,0.94977,0.6558,1.20888,1.38235,1.37554,0.000162481,0.000162481,0.000162481
62,179.404,1.45682,1.35284,1.33464,0.88741,0.72727,0.94977,0.6558,1.20888,1.38235,1.37554,0.000161161,0.000161161,0.000161161
63,182.27,1.21102,1.20344,1.52255,0.71373,0.81818,0.94977,0.70464,1.137,1.26439,1.35683,0.000159709,0.000159709,0.000159709
64,185.466,1.1356,1.14756,1.28411,0.71373,0.81818,0.94977,0.70464,1.137,1.26439,1.35683,0.000158125,0.000158125,0.000158125
65,188.306,1.53149,1.21033,1.4413,0.71373,0.81818,0.94977,0.70464,1.137,1.26439,1.35683,0.000156409,0.000156409,0.000156409
66,191.261,0.97879,1.53679,1.3197,0.82435,0.72727,0.94977,0.6965,1.10782,1.23476,1.32936,0.000154561,0.000154561,0.000154561
67,193.778,1.0969,1.06245,1.33915,0.82435,0.72727,0.94977,0.6965,1.10782,1.23476,1.32936,0.00015258,0.00015258,0.00015258
68,196.431,2.09735,2.31975,1.6552,0.82435,0.72727,0.94977,0.6965,1.10782,1.23476,1.32936,0.000150468,0.000150468,0.000150468
69,199.244,1.90212,1.81102,1.30741,0.89598,0.63636,0.88193,0.65806,1.08487,1.26597,1.30796,0.000148223,0.000148223,0.000148223
70,202.148,0.96042,1.31202,1.28562,0.89598,0.63636,0.88193,0.65806,1.08487,1.26597,1.30796,0.000145847,0.000145847,0.000145847
71,204.983,0.94302,1.24434,1.42175,0.89598,0.63636,0.88193,0.65806,1.08487,1.26597,1.30796,0.000143338,0.000143338,0.000143338
72,207.646,1.11754,1.56402,1.33569,0.91641,0.63636,0.92716,0.68519,1.06474,1.2537,1.28977,0.000140698,0.000140698,0.000140698
73,210.114,1.17529,1.25888,1.24917,0.91641,0.63636,0.92716,0.68519,1.06474,1.2537,1.28977,0.000137925,0.000137925,0.000137925
74,212.804,0.87738,1.1373,1.17205,0.91641,0.63636,0.92716,0.68519,1.06474,1.2537,1.28977,0.00013502,0.00013502,0.00013502
75,215.399,1.27181,1.44603,1.20957,0.90698,0.63636,0.9347,0.72665,1.01833,1.12711,1.27267,0.000131983,0.000131983,0.000131983
76,218.264,1.82524,2.38413,1.31922,0.90698,0.63636,0.9347,0.72665,1.01833,1.12711,1.27267,0.000128814,0.000128814,0.000128814
77,220.969,1.05219,1.21173,1.46474,0.90698,0.63636,0.9347,0.72665,1.01833,1.12711,1.27267,0.000125513,0.000125513,0.000125513
78,223.016,1.35069,1.41695,1.39127,0.91624,0.63636,0.9347,0.70555,1.01003,1.0687,1.26121,0.00012208,0.00012208,0.00012208
79,224.277,2.3488,4.50806,1.75471,0.91624,0.63636,0.9347,0.70555,1.01003,1.0687,1.26121,0.000118515,0.000118515,0.000118515
80,225.466,0.21358,2.04767,0.91868,0.91624,0.63636,0.9347,0.70555,1.01003,1.0687,1.26121,0.000114818,0.000114818,0.000114818
81,226.739,1.40319,1.76774,1.71078,0.85162,0.72727,0.94977,0.72364,1.02637,1.03366,1.26527,0.000110989,0.000110989,0.000110989
82,227.92,1.16781,1.22808,1.13612,0.85162,0.72727,0.94977,0.72364,1.02637,1.03366,1.26527,0.000107027,0.000107027,0.000107027
83,230.069,1.01895,1.26544,1.34861,0.85162,0.72727,0.94977,0.72364,1.02637,1.03366,1.26527,0.000102934,0.000102934,0.000102934
84,232.838,1.01854,1.09975,1.24446,0.54615,1,0.995,0.77791,1.00983,1.00765,1.26142,9.87087e-05,9.87087e-05,9.87087e-05
85,235.415,1.27913,1.24094,1.30417,0.54615,1,0.995,0.77791,1.00983,1.00765,1.26142,9.43512e-05,9.43512e-05,9.43512e-05
86,238.232,0.92869,1.05895,1.19708,0.54615,1,0.995,0.77791,1.00983,1.00765,1.26142,8.98616e-05,8.98616e-05,8.98616e-05
87,240.836,1.51343,1.66416,1.40265,0.54615,1,0.995,0.77791,1.00983,1.00765,1.26142,8.52399e-05,8.52399e-05,8.52399e-05
88,243.475,1.56122,2.17131,1.57483,0.79235,0.81818,0.995,0.77791,0.98698,1.00865,1.25673,8.04862e-05,8.04862e-05,8.04862e-05
89,246.058,1.11677,1.0235,1.42272,0.79235,0.81818,0.995,0.77791,0.98698,1.00865,1.25673,7.56004e-05,7.56004e-05,7.56004e-05
90,248.927,1.31748,1.11728,1.16001,0.79235,0.81818,0.995,0.77791,0.98698,1.00865,1.25673,7.05826e-05,7.05826e-05,7.05826e-05
91,251.478,1.39823,1.54032,1.36609,0.79235,0.81818,0.995,0.77791,0.98698,1.00865,1.25673,6.54327e-05,6.54327e-05,6.54327e-05
92,254.304,0.90654,0.96125,1.165,0.68837,0.90909,0.995,0.77791,0.95844,1.01824,1.24925,6.01507e-05,6.01507e-05,6.01507e-05
93,257.105,1.13702,1.06995,1.24707,0.68837,0.90909,0.995,0.77791,0.95844,1.01824,1.24925,5.47367e-05,5.47367e-05,5.47367e-05
94,259.659,1.17942,1.06793,1.54321,0.68837,0.90909,0.995,0.77791,0.95844,1.01824,1.24925,4.91906e-05,4.91906e-05,4.91906e-05
95,262.233,0.9208,0.91599,1.29193,0.68837,0.90909,0.995,0.77791,0.95844,1.01824,1.24925,4.35124e-05,4.35124e-05,4.35124e-05
96,264.947,0.87614,0.9813,1.33345,0.81861,0.81818,0.995,0.78695,0.92834,1.00717,1.23859,3.77022e-05,3.77022e-05,3.77022e-05
97,267.575,1.06509,0.99089,1.29785,0.81861,0.81818,0.995,0.78695,0.92834,1.00717,1.23859,3.17599e-05,3.17599e-05,3.17599e-05
98,270.163,0.93654,0.90566,1.23274,0.81861,0.81818,0.995,0.78695,0.92834,1.00717,1.23859,2.56855e-05,2.56855e-05,2.56855e-05
99,272.761,1.30216,1.34028,1.33562,0.81861,0.81818,0.995,0.78695,0.92834,1.00717,1.23859,1.94791e-05,1.94791e-05,1.94791e-05
100,275.511,0.93946,0.97069,1.30455,0.84183,0.81818,0.995,0.77791,0.91322,0.98208,1.23193,1.31406e-05,1.31406e-05,1.31406e-05
