epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,118.005,1.32536,1.64998,1.2487,0.72267,0.8,0.995,0.70645,1.11316,1.60586,1.30482,0.00017519,0.00017519,0.00017519
44,119.558,1.5247,1.86122,1.52695,0.72267,0.8,0.995,0.70645,1.11316,1.60586,1.30482,0.000176322,0.000176322,0.000176322
45,120.93,1.17219,1.28141,1.13837,0.5098,1,0.995,0.74625,1.09869,1.3452,1.28318,0.000177312,0.000177312,0.000177312
46,122.366,1.19743,1.22606,1.27715,0.5098,1,0.995,0.74625,1.09869,1.3452,1.28318,0.000178161,0.000178161,0.000178161
47,123.757,1.79753,2.01499,1.26617,0.6692,0.9,0.995,0.7363,1.05425,1.15804,1.25571,0.000178868,0.000178868,0.000178868
48,126.026,1.32448,1.29215,1.08904,0.6692,0.9,0.995,0.7363,1.05425,1.15804,1.25571,0.000179435,0.000179435,0.000179435
49,128.535,1.33911,1.56843,1.07931,0.79803,0.8,0.995,0.76615,1.0607,1.14104,1.24927,0.000179859,0.000179859,0.000179859
50,131.181,1.31388,1.33394,1.44612,0.79803,0.8,0.995,0.76615,1.0607,1.14104,1.24927,0.000180143,0.000180143,0.000180143
51,133.932,1.48373,1.24627,1.1757,0.85443,0.7,0.94525,0.74128,1.01928,1.32112,1.23765,0.000180285,0.000180285,0.000180285
52,136.355,1.00511,1.36179,1.0914,0.85443,0.7,0.94525,0.74128,1.01928,1.32112,1.23765,0.000180286,0.000180286,0.000180286
53,138.952,1.24527,1.43089,1.44446,0.85443,0.7,0.94525,0.74128,1.01928,1.32112,1.23765,0.000180145,0.000180145,0.000180145
54,141.386,1.05727,1.5145,1.29973,0.77343,0.9,0.995,0.77662,0.99582,1.47855,1.2138,0.000179863,0.000179863,0.000179863
55,144.224,1.31834,1.50177,1.19278,0.77343,0.9,0.995,0.77662,0.99582,1.47855,1.2138,0.00017944,0.00017944,0.00017944
56,146.701,1.12547,1.63793,1.32603,0.77343,0.9,0.995,0.77662,0.99582,1.47855,1.2138,0.000178875,0.000178875,0.000178875
57,149.505,1.42878,1.22098,1.22846,0.87442,0.9,0.995,0.78605,1.01922,1.47624,1.19946,0.000178169,0.000178169,0.000178169
58,152.216,0.98137,1.01107,1.22091,0.87442,0.9,0.995,0.78605,1.01922,1.47624,1.19946,0.000177321,0.000177321,0.000177321
59,154.968,1.28105,1.04004,1.14547,0.87442,0.9,0.995,0.78605,1.01922,1.47624,1.19946,0.000176332,0.000176332,0.000176332
60,157.678,1.3395,1.57328,1.23845,0.86638,0.9,0.995,0.75786,1.05011,1.37104,1.1794,0.000175202,0.000175202,0.000175202
61,160.172,1.03605,1.09266,1.14,0.86638,0.9,0.995,0.75786,1.05011,1.37104,1.1794,0.00017393,0.00017393,0.00017393
62,162.61,1.22907,1.21833,1.2932,0.86638,0.9,0.995,0.75786,1.05011,1.37104,1.1794,0.000172517,0.000172517,0.000172517
63,165.124,1.06988,1.1196,1.25433,0.6919,0.9,0.995,0.78605,1.06118,1.20627,1.16699,0.000170963,0.000170963,0.000170963
64,167.699,0.91315,1.03842,1.04861,0.6919,0.9,0.995,0.78605,1.06118,1.20627,1.16699,0.000169267,0.000169267,0.000169267
65,170.309,1.15507,1.21886,1.16247,0.6919,0.9,0.995,0.78605,1.06118,1.20627,1.16699,0.00016743,0.00016743,0.00016743
66,173.021,0.99689,1.24341,1.29384,0.60476,1,0.995,0.78605,0.92576,1.10395,1.13898,0.000165452,0.000165452,0.000165452
67,175.553,0.85829,0.96435,1.16105,0.60476,1,0.995,0.78605,0.92576,1.10395,1.13898,0.000163332,0.000163332,0.000163332
68,178.03,1.29099,1.86846,1.34568,0.60476,1,0.995,0.78605,0.92576,1.10395,1.13898,0.000161071,0.000161071,0.000161071
69,179.408,1.65162,1.62989,1.19021,0.78119,0.9,0.995,0.78937,0.85678,1.06182,1.13695,0.000158668,0.000158668,0.000158668
70,180.683,0.90443,1.12813,1.23679,0.78119,0.9,0.995,0.78937,0.85678,1.06182,1.13695,0.000156124,0.000156124,0.000156124
71,182.04,0.88742,1.42879,1.25713,0.78119,0.9,0.995,0.78937,0.85678,1.06182,1.13695,0.000153439,0.000153439,0.000153439
72,183.492,0.83735,1.37266,1.08214,0.79597,0.9,0.995,0.77278,0.87724,1.03589,1.14314,0.000150612,0.000150612,0.000150612
73,185.53,1.1528,1.28389,1.10652,0.79597,0.9,0.995,0.77278,0.87724,1.03589,1.14314,0.000147644,0.000147644,0.000147644
74,187.972,0.8343,1.05263,1.11144,0.79597,0.9,0.995,0.77278,0.87724,1.03589,1.14314,0.000144534,0.000144534,0.000144534
75,190.662,1.10352,1.259,1.14028,0.87608,0.9,0.995,0.79932,0.85864,1.01668,1.12651,0.000141283,0.000141283,0.000141283
76,193.19,1.04231,1.32972,1.15904,0.87608,0.9,0.995,0.79932,0.85864,1.01668,1.12651,0.000137891,0.000137891,0.000137891
77,195.816,0.87636,1.08064,1.2549,0.87608,0.9,0.995,0.79932,0.85864,1.01668,1.12651,0.000134358,0.000134358,0.000134358
78,198.723,1.38502,1.53736,1.26076,0.82166,1,0.995,0.76615,0.82443,1.07358,1.11262,0.000130683,0.000130683,0.000130683
79,201.058,1.2066,2.51395,1.0977,0.82166,1,0.995,0.76615,0.82443,1.07358,1.11262,0.000126866,0.000126866,0.000126866
80,203.399,1.44552,1.49972,1.28661,0.82166,1,0.995,0.76615,0.82443,1.07358,1.11262,0.000122909,0.000122909,0.000122909
81,205.842,1.13526,1.3094,1.45673,0.88732,1,0.995,0.796,0.81078,1.20432,1.1041,0.00011881,0.00011881,0.00011881
82,208.428,1.08633,1.14145,1.00652,0.88732,1,0.995,0.796,0.81078,1.20432,1.1041,0.000114569,0.000114569,0.000114569
83,211.128,0.88516,1.03336,1.23142,0.88732,1,0.995,0.796,0.81078,1.20432,1.1041,0.000110187,0.000110187,0.000110187
84,213.63,0.72825,0.89685,1.07705,0.81784,1,0.995,0.76615,0.8075,1.18387,1.10253,0.000105664,0.000105664,0.000105664
85,216.16,0.94595,0.92198,1.10243,0.81784,1,0.995,0.76615,0.8075,1.18387,1.10253,0.000101,0.000101,0.000101
86,218.603,0.9158,1.00817,1.14691,0.81784,1,0.995,0.76615,0.8075,1.18387,1.10253,9.61937e-05,9.61937e-05,9.61937e-05
87,220.948,0.81423,1.00545,1.14473,0.81784,1,0.995,0.76615,0.8075,1.18387,1.10253,9.12463e-05,9.12463e-05,9.12463e-05
88,223.583,1.14596,1.62343,1.39695,0.7599,1,0.995,0.77809,0.83126,1.09409,1.10358,8.61577e-05,8.61577e-05,8.61577e-05
89,226.079,0.82125,0.93702,1.18988,0.7599,1,0.995,0.77809,0.83126,1.09409,1.10358,8.09276e-05,8.09276e-05,8.09276e-05
90,228.902,1.67532,1.02021,1.0685,0.7599,1,0.995,0.77809,0.83126,1.09409,1.10358,7.55562e-05,7.55562e-05,7.55562e-05
91,231.376,0.97114,1.0669,1.10338,0.7599,1,0.995,0.77809,0.83126,1.09409,1.10358,7.00434e-05,7.00434e-05,7.00434e-05
92,233.861,0.96127,0.92737,1.03939,0.89255,0.9,0.995,0.76947,0.86616,1.01784,1.11118,6.43892e-05,6.43892e-05,6.43892e-05
93,236.32,0.87147,0.97367,1.13031,0.89255,0.9,0.995,0.76947,0.86616,1.01784,1.11118,5.85937e-05,5.85937e-05,5.85937e-05
94,238.682,0.88678,0.87819,1.26455,0.89255,0.9,0.995,0.76947,0.86616,1.01784,1.11118,5.26568e-05,5.26568e-05,5.26568e-05
95,239.937,0.79135,0.87807,1.06721,0.89255,0.9,0.995,0.76947,0.86616,1.01784,1.11118,4.65785e-05,4.65785e-05,4.65785e-05
96,241.202,0.76681,0.95111,1.1336,0.89651,0.9,0.995,0.77942,0.85615,0.97091,1.1088,4.03589e-05,4.03589e-05,4.03589e-05
97,242.404,0.8068,0.89582,1.1467,0.89651,0.9,0.995,0.77942,0.85615,0.97091,1.1088,3.39978e-05,3.39978e-05,3.39978e-05
98,243.574,0.7091,0.8661,1.08435,0.89651,0.9,0.995,0.77942,0.85615,0.97091,1.1088,2.74954e-05,2.74954e-05,2.74954e-05
99,245.224,1.197,1.08733,1.20442,0.89651,0.9,0.995,0.77942,0.85615,0.97091,1.1088,2.08517e-05,2.08517e-05,2.08517e-05
100,247.694,0.6578,0.7707,1.11971,0.90614,0.9,0.995,0.77942,0.84568,0.92284,1.10499,1.40665e-05,1.40665e-05,1.40665e-05
